КОД,Назва,Ціна 
15-13-22	LED лампа настільна LEBRON L-TL-L 10W 4100K 3 рівня по-сті блакитна з блоком жи-ня	507
15-13-30	LED лампа настільна LEBRON L-TL-L 9W 3000K 4100K 6500K біла "шкіра" з блоком жи-ня	525
15-13-31	LED лампа настільна LEBRON L-TL-L 9W 3000K 4100K 6500K чорна "шкіра" з блоком жи-ня	525
15-13-32	LED лампа настільна LEBRON L-TL-L 9W 3000K-6500K коричнева "шкіра" з блоком жи-ня	525
15-13-40-1	LED лампа настільна LEBRON L-TL-L-40 5W 4100K Li-ion 1200mAh біла шнур USB	279
15-13-44-1	LED лампа настільна LEBRON L-TL-L-44 4W 4100K Li-ion 1200mAh біла шнур USB	333
15-13-46-1	LED лампа настільна з кліпсою LEBRON L-TL-L-Clip-46 5W 4100K Li-ion 1200mAh біла шнур USB	345
15-13-48-1	LED лампа настільна LEBRON L-TL-L-48 4W 4100K Li-ion 1200mAh біла шнур USB	342
15-13-54-2	LED лампа настільна LEBRON L-TL-L-54 6W 4100K Li-ion 1200mAh синя шнур USB	336
15-13-58-2	LED лампа настільна LEBRON L-TL-L-58 4W 4100K Li-ion 1200mAh зелена шнур USB	351
15-13-80-1	LED світильник нічник LEBRON L-TL-L-80 3W 3000-6500K Li-ion 1200mAh коричневий шнур USB	198
15-15-10-1	LED ліхтар ручний акумуляторний LEBRON L-HL-10 ABS чорний 1W Lead-acid 250mAh шнур USB	68.1
15-15-12-1	LED ліхтар ручний акумуляторний LEBRON L-HL-12 ABS чорний 1W Lead-acid 250mAh адаптер	82.5
15-15-15-1	LED ліхтар ручний акумуляторний LEBRON L-HL-15 ABS зелений 5W/1W USB Li-ion 1200mAh шнур USB	136.2
15-15-30-1	LED ліхтар ручний акумуляторний LEBRON L-HL-30-USB ABS сірий 1W + 1W COB Li-ion 1200mAh шнур US	145.2
15-15-31-1	LED ліхтар ручний акумуляторний LEBRON L-HL-31-USB ABS зелений 1W + 1W COB USB Li-ion 1200mAh	145.2
15-15-40-1	LED ліхтар ручний акумуляторний LEBRON L-HL-40 ABS чорний 2W + 08W Li-ion 1200mAh з блоком жив	180
15-15-76-1	LED ліхтар прожекторний переносний LEBRON L-HL-76 ABS 15W+4W Li-ion 1200mAh шнур USB блок живл	324
15-15-77	LED ліхтар прожекторний переносний акумуляторний LEBRON L-HL-77 ABS 4W/7W+3W COB 3000mAh	420
15-15-79-1	LED ліхтар прожекторний переносний LEBRON L-HL-79 ABS 2W/4W+3W COB Li-Ion 3000mAh шнур живлення	468
15-15-80-1	LED ліхтар прожекторний переносний LEBRON L-HL-80 ABS+Al 5W Li-Ion 2400mAh блок живлення кріпле	537
15-15-85-1	LED ліхтар прожекторний переносний LEBRON L-HL-85 ABS+Al 68W Li-Ion 6000mAh блок живлення кріп	954
15-16-08-1	LED ліхтар налобний акумуляторний LEBRON L-HL-608 ABS чорний 1W Li-Ion 800mAh блок живлення	137.1
15-16-15-2	LED ліхтар кемпінговий акумуляторний LEBRON L-HL-615 ABS 2400mAh Li-Ion з шнуром USB	237
15-16-17-1	LED ліхтар кемпінговий акумуляторний LEBRON L-HL-617 7.5W Li-Ion 1200mAh*2 зелений шнур USB	276
15-16-20-1	LED ліхтар кемпінговий акумуляторний LEBRON L-HL-620 ABS 18W Li-Ion 2000mAh*2 шнур USB	375
15-16-25-1	LED ліхтар кемпінговий акумуляторний LEBRON L-HL-625 ABS 6W Li-Ion 1200mAh шнур USB	357
15-16-31-1	LED ліхтар кемпінговий акумуляторний LEBRON L-HL-631 ABS 65W Li-Ion 3000mAh шнур USB	465
15-16-35-2	LED ліхтар мультифункціональний акумуляторний LEBRON L-HL-635 ABS 5W 1500mAh Li-Ion з шнуром USB	375
15-17-15	LED світильник LEBRON L-SL-18018 садово-парковий з сонячною панеллю Ni-MH 40mAh	38.1
15-17-20	LED світильник LEBRON L-SL-18820 садово-парковий з сонячною панеллю Ni-MH 40mAh	77.1
15-17-25	LED світильник LEBRON L-SL-18583 садово-парковий з сонячною панеллю Ni-MH 100mAh	89.7
15-17-30	LED світильник LEBRON L-SL-48704 садово-парковий з сонячною панеллю Ni-MH 600mAh	89.7
15-17-46	LED світильник LEBRON L-SL-48704 садово-парковий грунтовий з сонячною панеллю Ni-MH 100mAh IP44	89.7
15-17-60	LED світильник LEBRON L-SL-48648AT з датчиком руху з сонячною панеллю Li-Ion 500mAh	378
15-18-04	LED гірлянда LEBRON 2м краплі роси 20LED 2*AA біла IP20	47.1
15-18-05	LED гірлянда LEBRON 2м краплі роси 20LED 2*AA жовта IP20	47.1
15-18-06	LED гірлянда LEBRON 5м краплі роси 50LED 3*AA біла IP20	74.7
15-18-07	LED гірлянда LEBRON 5м краплі роси 50LED 3*AA жовта IP20	74.7
15-18-09	LED гірлянда LEBRON 2м оленята 20LED 2*AA жовта IP20	103.2
15-18-10	LED гірлянда LEBRON лінійна 5м 50LED мульти колір IP20	86.4
15-18-11	LED гірлянда LEBRON лінійна 10м 100LED мульти колір IP20	144
15-18-13	LED гірлянда LEBRON лінійна 14м 140LED мульти колір IP20	186
15-18-14	LED гірлянда LEBRON лінійна 20м 200LED мульти колір IP20	246
15-18-20	LED гірлянда LEBRON лінійна 5м 50LED біла IP20 прозорий кабель	86.4
15-18-22	LED гірлянда LEBRON лінійна 10м 100LED біла IP20 прозорий кабель	143.7
15-18-23	LED гірлянда LEBRON лінійна 10м 100LED жовта IP20 прозорий кабель	143.7
15-18-37	LED гірлянда LEBRON лінійна 6м куля в метал. 40LED жовта IP20	264
15-18-52	LED гірлянда LEBRON сітка 15х15м 120LED біла IP20	237
15-18-53	LED гірлянда LEBRON сітка 15х15м 120LED жовта IP20	237
15-18-63	LED гірлянда LEBRON штора 3х2м краплі роси 200LED біла USB пульт ДК IP20	300
15-18-64	LED гірлянда LEBRON штора 3х2м краплі роси 200LED жовта USB пульт ДК IP20	300
15-18-65	LED гірлянда LEBRON штора 3х2м краплі роси 200LED мультиколор USB пульт ДК IP20	309
15-18-74	LED гірлянда LEBRON штора 2х2м 240LED біла IP20	315
15-18-75	LED гірлянда LEBRON штора 2х2м 240LED жовта IP20	315
15-18-78	LED гірлянда LEBRON штора 3х2м 320LED біла IP20	414
15-18-79	LED гірлянда LEBRON штора 3х2м 320LED жовта IP20	414
15-18-84	LED гірлянда LEBRON штора водоспад 2х2м 192LED біла IP20	429
15-18-85	LED гірлянда LEBRON штора водоспад 2х2м 192LED жовта IP20	429
15-18-86	LED гірлянда LEBRON штора водоспад 3х2м 240LED біла IP20	510
15-18-87	LED гірлянда LEBRON штора водоспад 3х2м 240LED жовта IP20	510
15-18-90	LED гірлянда LEBRON штора 3х07м зірка 138LED біла IP20	357
15-18-91	LED гірлянда LEBRON штора 3х07м зірка 138LED жовта IP20	357
15-18-92	LED гірлянда LEBRON штора 3х07м ялинка дзвоник олень 138LED біла IP20	459
15-18-93	LED гірлянда LEBRON штора 27х054м ялинка з іграшкою 145LED жовта IP20	459
15-18-94	LED гірлянда LEBRON штора 3х07м сніжинка 138LED біла IP20	471
15-18-95	LED гірлянда LEBRON штора 3х07м сніжинка 138LED жовта IP20	471
15-18-98	LED гірлянда LEBRON штора 3х05м метеоритний дощ 288LED біла IP65	396
15-23-10-2	LED світильник LEBRON L-CL-B-1641 BASE 16W 4100K 230V	222
15-23-11-2	LED світильник LEBRON L-CL-B-2241 BASE 22W 4100K 230V	285
15-23-12-2	LED світильник LEBRON L-CL-B-3241 BASE 32W 4100K 230V	357
15-23-13-2	LED світильник LEBRON L-CL-М-1641 MEADOW 16W 4100K 230V	237
15-23-14-2	LED світильник LEBRON L-CL-М-2241 MEADOW 22W 4100K 230V	303
15-23-15-2	LED світильник LEBRON L-CL-М-3241 MEADOW 32W 4100K 230V	378
15-23-16-2	LED світильник LEBRON L-CL-D-1641 DREAMS 16W 4100K 230V	237
15-23-17-2	LED світильник LEBRON L-CL-D-2241 DREAMS 22W 4100K 230V	303
15-23-18-2	LED світильник LEBRON L-CL-D-3241 DREAMS 32W 4100K 230V	378
15-23-20	LED світильник LEBRON L-CL-B-1665 BASE 16W 6500K 230V	222
15-23-21	LED світильник LEBRON L-CL-B-2265 BASE 22W 6500K 230V	285
15-23-22	LED світильник LEBRON L-CL-B-3265 BASE 32W 6500K 230V	357
15-23-23	LED світильник LEBRON L-CL-М-1665 MEADOW 16W 6500K 230V	237
15-23-24	LED світильник LEBRON L-CL-М-2265 MEADOW 22W 6500K 230V	303
15-23-25	LED світильник LEBRON L-CL-М-3265 MEADOW 32W 6500K 230V	378
15-23-26	LED світильник LEBRON L-CL-D-1665 DREAMS 16W 6500K 230V	237
15-23-27	LED світильник LEBRON L-CL-D-2265 DREAMS 22W 6500K 230V	303
15-23-28	LED світильник LEBRON L-CL-D-3265 DREAMS 32W 6500K 230V	378
15-23-38-2	LED світильник LEBRON L-CL-WAVE-1541 15W 4100K 230V	324
15-23-44-2	LED світильник LEBRON L-CL-WAVE-2041 20W 4100K 230V	408
15-23-48-2	LED світильник LEBRON L-CL-WAVE-3041 30W 4100K 230V	477
15-23-58-2	LED світильник LEBRON L-CL-TWIST-1541 15W 4100K 230V	273
15-23-64-2	LED світильник LEBRON L-CL-TWIST-2041 20W 4100K 230V	300
15-23-68-2	LED світильник LEBRON L-CL-TWIST-3041 30W 4100K 230V	381
15-23-72-2	LED світильник LEBRON L-CL-GRAFIT-1541 15W 4100K 230V	324
15-23-76-2	LED світильник LEBRON L-CL-GRAFIT-2041 20W 4100K 230V	408
15-23-80-2	LED світильник LEBRON L-CL-GRAFIT-3041 30W 4100K 230V	477
15-24-30	LED світильник LEBRON L-SF-CLASSIC-RWh 24W 4100K білий 230V	258
15-24-31	LED світильник LEBRON L-SF-CLASSIC-RBl 24W 4100K чорний 230V	258
15-24-34	LED світильник LEBRON L-SF-CLASSIC-RWh 45W 4100K білий 230V	342
15-24-35	LED світильник LEBRON L-SF-CLASSIC-RBl 45W 4100K чорний 230V	342
15-24-38	LED світильник LEBRON L-SF-CLASSIC-RWh 72W 4100K білий 230V	510
15-24-39	LED світильник LEBRON L-SF-CLASSIC-RBl 72W 4100K чорний 230V	510
15-24-42	LED світильник LEBRON L-GY-CLASSIC-RWh 24W 4100K білий 230V	273
15-24-44	LED світильник LEBRON L-GY-CLASSIC-RWh 45W 4100K білий 230V	357
15-24-46	LED світильник LEBRON L-GY-CLASSIC-RWh 72W 4100K білий 230V	525
15-24-51-2	LED світильник LEBRON L-CL-CLASSIC-38RWh 38W 4000K білий 230V	321
15-24-53-2	LED світильник LEBRON L-CL-CLASSIC-38RBl 38W 4000K чорний 230V	321
15-24-55-2	LED світильник LEBRON L-CL-CLASSIC-65RWh 65W 4000K білий 230V	381
15-24-57-2	LED світильник LEBRON L-CL-CLASSIC-65RBl 65W 4000K чорний 230V	381
15-24-59-2	LED світильник LEBRON L-CL-CLASSIC-76RWh 38Wx2 3000-6500K білий 230V	582
15-24-61-2	LED світильник LEBRON L-CL-CLASSIC-76RBl 38Wx2 3000-6500K чорний 230V	582
15-25-01	LED світильник LEBRON L-CL-CLASSIC-R max 65W 3000-6500К 230V	699
15-25-02-2	LED світильник LEBRON L-CL-CLASSIC-S max 65W 3000-6500К 230V	699
15-25-04-2	LED світильник LEBRON L-CL-DIAMOND max 23W*2 3000K-6500К 230V	555
15-25-12	LED світильник LEBRON L-CL-GALAXY max 23W*2 3000K-6500К 230V	762
15-25-16-2	LED світильник LEBRON L-CL-LILU max 23W*2 3000K-6500К 230V	615
15-25-20-2	LED світильник LEBRON L-CL-LARSON max 23W*2 3000K-6500К 230V	807
15-25-23	LED світильник LEBRON L-CL-Moon-Milky-RWh-Gr max 36Wx2 3000-6500K пульт батарейки 2шт 230V	699
15-25-30-2	LED світильник LEBRON L-CL-ROSE max 30W*2 3000K-6500К 230V	822
15-32-03-2	LED світильник LEBRON L-WLR-1541 15W 4100K круглий 230V	116.1
15-32-05	LED світильник LEBRON L-WLR-1841 18W 4100K круглий 230V	148.2
15-32-07	LED світильник LEBRON L-WLR-2441 24W 4100K круглий 230V	189
15-32-12	LED світильник LEBRON L-WLS-1241 12W 4100K квадрат 230V	109.2
15-32-16	LED світильник LEBRON L-WLS-1841 18W 4100K квадрат 230V	159
15-32-18	LED світильник LEBRON L-WLS-2441 24W 4100K квадрат 230V	207
15-32-56	LED світильник LEBRON L-WLR-1265 12W 6500K ІР44 круглий 230V	72
15-32-60	LED світильник LEBRON L-WLR-1565 15W 6500K ІР44 круглий 230V	90
15-32-64	LED світильник LEBRON L-WLR-2065 20W 6500K ІР44 круглий 230V	117
15-32-65	LED світильник LEBRON L-WLR-2065 20W 6500K ІР44 круглий чорний 230V	117
15-32-68	LED світильник LEBRON L-WLR-2465 24W 6500K ІР44 круглий 230V	120
15-32-72	LED світильник LEBRON L-WLO-965 9W 6500K ІР44 овал 230V	69
15-32-76	LED світильник LEBRON L-WLO-1265 12W 6500K ІР44 овал 230V	81
15-33-34-2	LED світильник LEBRON L-WLR-1241 12W 4100K ІР65 круглий 230V шрінк	125.1
15-33-46	LED світильник LEBRON L-WLO-JZ-2041 20W 4100K ІР65 овал 230V	168
15-33-47	LED світильник LEBRON L-WLO-JZ-2065 20W 6500K ІР65 овал 230V	168
15-33-50	LED світильник LEBRON L-WLR-JZ-2041 20W 4100K ІР65 круглий 230V	189
15-33-51	LED світильник LEBRON L-WLR-JZ-2065 20W 6500K ІР65 круглий 230V	189
15-33-54	LED світильник LEBRON L-WLS-JZ-2041 20W 4100K ІР65 квадрат 230V	195
15-33-55	LED світильник LEBRON L-WLS-JZ-2065 20W 6500K ІР65 квадрат 230V	195
15-35-01	LED світильник LEBRON L-WLO-841 8W 4100K ІР65 овал 230V	119.1
15-35-04	LED світильник LEBRON L-WLO-1241 12W 4100K ІР65 овал 230V	156
15-35-07-2	LED світильник LEBRON L-WLO-1541 15W 4100K ІР65 овал 230V	165
15-35-10-2	LED світильник LEBRON L-WLO-1841 18W 4100K ІР65 овал 230V	201
15-35-20-2	LED світильник LEBRON L-WLR-841 8W 4100K ІР65 круглий 230V	153
15-35-23-2	LED світильник LEBRON L-WLR-1241 12W 4100K ІР65 круглий 230V	189
15-35-26-2	LED світильник LEBRON L-WLR-1541 15W 4100K ІР65 круглий 230V	198
15-35-29-2	LED світильник LEBRON L-WLR-1841 18W 4100K ІР65 круглий 230V	273
15-35-72	LED світильник LEBRON L-WL-1241 12W 4100K ІР54 230V	171
15-35-76-2	LED світильник LEBRON L-WL-2041 20W 4100K ІР54 230V	255
15-36-43	LED св-к LEBRON L-WLR-S 10W круглий O155mm 4100K 800Lm ІЧ д.руху	216
15-36-46	LED св-к LEBRON L-WLR-S 12W круглий O210mm 4100K 960Lm ІЧ д.руху	300
15-36-62	Світильник LEBRON L-CWL-S max 2*25W E27 ІЧ датчик руху	399
15-37-03	LED світильник LEBRON L-WLR-S-965 9W 6500K ІР44 датчик руху круглий 230V	117
15-37-05	LED світильник LEBRON L-WLO-S-965 9W 6500K ІР44 датчик руху овал 230V	117
15-37-12	LED світильник LEBRON L-WLR-S-2041 20W 4100K ІР65 датчик руху круглий 230V	273
15-37-13	LED світильник LEBRON L-WLR-S-2065 20W 6500K ІР65 датчик руху круглий 230V	273
15-37-21-2	LED світильник LEBRON L-WLO-S-841 8W 4100K ІР65 СВЧ датчик руху овал 230V	312
15-37-23-2	LED світильник LEBRON L-WLO-S-841 12W 4100K ІР65 СВЧ датчик руху овал 230V	330
15-37-25-2	LED світильник LEBRON L-WLO-S-1541 15W 4100K ІР65 СВЧ датчик руху овал 230V	351
15-37-30	LED світильник LEBRON L-WLR-S-841 8W 4100K ІР65 СВЧ датчик руху круглий 230V	336
